	label	aspect	sentence	masked_sen	subject	verb	object
492	1	schaukelt	Es folgen weitere Zusammenstösse zwischen Jesus und den Juden , der Konflikt schaukelt sich auf .	Es folgen weitere Zusammenstösse zwischen Jesus und den Juden , der Konflikt [MASK] sich auf .	Konflikt	aufschaukeln	Sich
493	0	schaukelt	Sonst schwingt der Turm immer nach oder schaukelt sich sogar auf .	Sonst schwingt der Turm immer nach oder [MASK] sich sogar auf .	Turm	aufschaukeln	sich
494	0	aufzuschaukeln	Drohte sich der Anhänger zum Beispiel bei Seitenwind hinter dem Zugwagen aufzuschaukeln , half nur beherztes Bremsen .	Drohte sich der Anhänger zum Beispiel bei Seitenwind hinter dem Zugwagen [MASK] , half nur beherztes Bremsen .	Anhänger	aufschaukeln	Sich
495	0	aufschaukeln	Das sich der Steg so aufschaukeln kann hatten wir noch nicht erlebt .	Das sich der Steg so [MASK] kann hatten wir noch nicht erlebt .	Steg	aufschaukeln	sich
496	0	aufschaukeln	Während er da steht , sieht er plötzlich einen Schiffsrumpf in den Wellen aufschaukeln .	Während er da steht , sieht er plötzlich einen Schiffsrumpf in den Wellen [MASK] .	Schiffrumpf	aufschaukeln	
497	0	aufzuschaukeln	Unvermittelt begannen sie das Fahrzeug , in dem einige Personen sassen , aufzuschaukeln .	Unvermittelt begannen sie das Fahrzeug , in dem einige Personen sassen , [MASK] .		aufschaukeln	Fahrzeug
498	0	aufschaukeln	Einzig lang gezogene Bodenwellen lassen den Sorento ein wenig aufschaukeln .	Einzig lang gezogene Bodenwellen lassen den Sorento ein wenig [MASK] .	Bodenwelle	aufschaukeln	Sorento
499	0	schaukelt	Leistung sehr mager , Motor wird zu warm , Heck schaukelt sich mittem Regler auf .	Leistung sehr mager , Motor wird zu warm , Heck [MASK] sich mittem Regler auf .	Heck	aufschaukeln	Sich
500	1	ausgegraben	Diesen Thread hier habe ich ausgegraben .	Diesen Thread hier habe ich [MASK] .	ich	ausgraben	Thread
501	1	ausgegraben	Viel akkustik Gitarre , viel Musik und eine alte Geschichte ausgegraben .	Viel akkustik Gitarre , viel Musik und eine alte Geschichte [MASK] .		ausgraben	Geschichte
502	0	gräbst	Oder gräbst du Löcher aus ?	Oder [MASK] du Löcher aus ?	du	ausgraben	Loch
503	0	ausgegraben	Im Schlosspark wurden Reste eines römischen Hauses mit Mosaikboden ausgegraben .	Im Schlosspark wurden Reste eines römischen Hauses mit Mosaikboden [MASK] .		ausgraben	Rest
504	1	gräbt	Die Saarbrücker Intendanz gräbt gerne Raritäten aus .	Die Saarbrücker Intendanz [MASK] gerne Raritäten aus .	Intendanz	ausgraben	Rarität
505	0	ausgegraben	Nachdem die Eiche ausgegraben war , erklang das Bochumer Jungenlied mit Pfiff .	Nachdem die Eiche [MASK] war , erklang das Bochumer Jungenlied mit Pfiff .		ausgraben	Eiche
506	0	auszugraben	Schliesslich entschied man sich dafür zunächst in Babylon auszugraben .	Schliesslich entschied man sich dafür zunächst in Babylon [MASK] .		ausgraben	
507	0	ausgraben	Die Jahre vergingen und als die Dorfbewohner das Gold ausgraben wollten , fanden sie es nicht mehr .	Die Jahre vergingen und als die Dorfbewohner das Gold [MASK] wollten , fanden sie es nicht mehr .	Dorfbewohner	ausgraben	Gold
508	1	ausgegraben	Ich hab da mal einen Fragebogen von mir ausgegraben .	Ich hab da mal einen Fragebogen von mir [MASK] .	ich	ausgraben	Fragebogen
509	0	ausgegraben	Hallo , ich bin gerade dabei mein erster Teich zu bauen , ausgegraben haben wir schon .	Hallo , ich bin gerade dabei mein erster Teich zu bauen , [MASK] haben wir schon .		ausgraben	
510	1	ausgegraben	In der Sammlung wurden die meisten Modelle der alten amerikanischen Lichtdesign Klassiker wieder ausgegraben .	In der Sammlung wurden die meisten Modelle der alten amerikanischen Lichtdesign Klassiker wieder [MASK] .		ausgraben	Modell
511	0	gräbt	Man sucht eine kleine Insel , nimmt eine Schaufel mit und gräbt den Schatz aus .	Man sucht eine kleine Insel , nimmt eine Schaufel mit und [MASK] den Schatz aus .		ausgraben	Schatz
512	0	ausgegraben	Igor wurde im Februar 2002 versehentlich bei der Frühjahrsbestellung des Gartens ausgegraben und ins Tierheim gebracht .	Igor wurde im Februar 2002 versehentlich bei der Frühjahrsbestellung des Gartens [MASK] und ins Tierheim gebracht .		ausgraben	Igor
513	0	ausgegraben	Seit 2001 wird dort im Gebiet der Gemeinden Marpingen , Oberthal und Tholey fleissig ausgegraben .	Seit 2001 wird dort im Gebiet der Gemeinden Marpingen , Oberthal und Tholey fleissig [MASK] .		ausgraben	
514	0	ausgegraben	150 Münzen im Lederbeutel aus dem Wald ausgegraben ?	150 Münzen im Lederbeutel aus dem Wald [MASK] ?		ausgraben	Münze
515	0	ausgegraben	Der Neupfarrplatz beherbergt Keller des ehemaligen jüdischen Viertels , ausgegraben in den neunziger Jahren .	Der Neupfarrplatz beherbergt Keller des ehemaligen jüdischen Viertels , [MASK] in den neunziger Jahren .		ausgraben	Keller
516	1	ausgraben	Ich muss wohl mal wieder den Thread durchkucken und die Photos ausgraben .	Ich muss wohl mal wieder den Thread durchkucken und die Photos [MASK] .		ausgraben	Photo
517	0	ausgegraben	Bereits 1935 wurde in Oberschopfheim im Gewann Petersle ein Beil ausgegraben .	Bereits 1935 wurde in Oberschopfheim im Gewann Petersle ein Beil [MASK] .		ausgraben	Beil
518	0	ausgegraben	Es wurden der Palast , der Tempel und ein Stadttor ausgegraben .	Es wurden der Palast , der Tempel und ein Stadttor [MASK] .		ausgraben	Palast
519	0	ausgegraben	In Staraja Ladoga wurden Spielzeugschwerter des 8. 9. Jahrhunderts ausgegraben .	In Staraja Ladoga wurden Spielzeugschwerter des 8. 9. Jahrhunderts [MASK] .		ausgraben	Spielzeugschwert
520	0	ausgegraben	Diese wurden bereits Ende des 19. bzw. zu Anfang des 20. Jahrhunderts ausgegraben .	Diese wurden bereits Ende des 19. bzw. zu Anfang des 20. Jahrhunderts [MASK] .		ausgraben	
521	0	ausgraben	Durch mein unvorsichtiges ausgraben hab ich die Sicherung beschädigt !	Durch mein unvorsichtiges [MASK] hab ich die Sicherung beschädigt !		ausgraben	
522	1	auszugraben	Egal , das Schlimmste ist , Geheimnisse auszugraben , ehe man sie verteilt wie Flugblätter .	Egal , das Schlimmste ist , Geheimnisse [MASK] , ehe man sie verteilt wie Flugblätter .		ausgraben	Geheimnis
523	1	ausgegraben	Da der Artikel ausgegraben wurde .	Da der Artikel [MASK] wurde .		ausgraben	Artikel
524	1	ausgraben	Wer noch so einen alte Konsole besitzt sollte sie mal ruhig wieder ausgraben .	Wer noch so einen alte Konsole besitzt sollte sie mal ruhig wieder [MASK] .		ausgraben	Konsole
525	1	ausgegraben	Er hatte den falschen Artikel ausgegraben !	Er hatte den falschen Artikel [MASK] !		ausgraben	Artikel
526	1	ausgegraben	TMD hat jetzt die wohl älteste Demo Aufnahme von Metallica ausgegraben .	TMD hat jetzt die wohl älteste Demo Aufnahme von Metallica [MASK] .	TMD	ausgraben	Aufnahme
527	1	ausgegraben	Da habt ihr wirklich Erinnerungen bei mir ausgegraben .	Da habt ihr wirklich Erinnerungen bei mir [MASK] .	ihr	ausgraben	Erinnerungen
528	1	ausgegraben	Fragt er mich doch tatsächlich , ob ich das Kriegsbeil schon ausgegraben hätte ?	Fragt er mich doch tatsächlich , ob ich das Kriegsbeil schon [MASK] hätte ?	ich	ausgraben	Kriegsbeil
529	1	auszugraben	Würdest du bitte aufhören , schmerzhafte Erinnerungen auszugraben ?	Würdest du bitte aufhören , schmerzhafte Erinnerungen [MASK] ?		ausgraben	Erinnerung
530	1	ausgegraben	Hallo , ich hab mal wieder mein altes Lieblingsspiel ausgegraben und den ertsen Teil schon durchgespielt .	Hallo , ich hab mal wieder mein altes Lieblingsspiel [MASK] und den ertsen Teil schon durchgespielt .	ich	ausgraben	Lieblingsspiel
531	1	auszugraben	Um das Thema mal wieder auszugraben .	Um das Thema mal wieder [MASK] .		ausgraben	Thema
532	0	absägen	Nimm einfach ein Rohr das ist billig und gut , einfach absägen etc. ..	Nimm einfach ein Rohr das ist billig und gut , einfach [MASK] etc. ..		absägen	
533	0	abgesägt	Ich hatte von einem Magneten aus dem Baumarkt ein gerades Stück abgesägt .	Ich hatte von einem Magneten aus dem Baumarkt ein gerades Stück [MASK] .	ich	absägen	Stück
534	0	absägen	Die 6 Schrauben für die Domstrebe kann man ja selber einschrauben , und den Batteriedeckel absägen .	Die 6 Schrauben für die Domstrebe kann man ja selber einschrauben , und den Batteriedeckel [MASK] .		absägen	Batteriedeckel
535	0	sägten	Allerdings konnten es Unverbesserliche auch diesmal nicht lassen und sägten einige Maibäume ab .	Allerdings konnten es Unverbesserliche auch diesmal nicht lassen und [MASK] einige Maibäume ab .		absägen	Maibaum
536	0	abzusägen	Sonst brauchst du noch Aluprofile , um die Winkel abzusägen .	Sonst brauchst du noch Aluprofile , um die Winkel [MASK] .		absägen	Winkel
537	0	abgesägt	Da wurde als Erstes ein grosser Ahornbaum abgesägt	Da wurde als Erstes ein grosser Ahornbaum [MASK]		absägen	Ahornbaum
538	0	abgesägt	Es musste lediglich der Fuss abgesägt werden .	Es musste lediglich der Fuss [MASK] werden .		absägen	Fuß
539	1	abgesägt	Politisch hat ihn ja Jelzin abgesägt	Politisch hat ihn ja Jelzin [MASK]	Jelzin	absägen	
540	0	absägen	Ich musste für Schlossherren Bäume absägen , damit die Holz zum Heizen hatten .	Ich musste für Schlossherren Bäume [MASK] , damit die Holz zum Heizen hatten .	ich	absägen	Baum
541	0	abgesägt	Nun wird das eingehängte Kronenteil abgesägt und der Kran befördert das Holz nach unten .	Nun wird das eingehängte Kronenteil [MASK] und der Kran befördert das Holz nach unten .		absägen	Kronenteil
542	0	abgesägt	Meist wurden dafür allerdings winterkahle Obstbäume , Eichen oder Birken abgesägt und in die warme Stube gestellt .	Meist wurden dafür allerdings winterkahle Obstbäume , Eichen oder Birken [MASK] und in die warme Stube gestellt .		absägen	Obstbaum
543	1	abzusägen	Würde mich nicht wundern , wenn da eine kleine Verschwörung läuft um Herrn von Guttenberg abzusägen .	Würde mich nicht wundern , wenn da eine kleine Verschwörung läuft um Herrn von Guttenberg [MASK] .		absägen	von Guttenberg
544	1	abgesägt	Jedenfalls ist dieser Manager in der letzten Woche abgesägt worden	Jedenfalls ist dieser Manager in der letzten Woche [MASK] worden		absägen	Manager
545	1	abgesägt	Jetzt sieht jeder klar , dass dies damals der wahre Grund war , warum er abgesägt wurde .	Jetzt sieht jeder klar , dass dies damals der wahre Grund war , warum er [MASK] wurde .		absägen	
546	1	abzusägen	Lauern die nur darauf , Merkel abzusägen ?	Lauern die nur darauf , Merkel [MASK] ?		absägen	Merkel
547	1	absägen	Weil die Politiker sich sonst ihren eigenen Ast absägen .	Weil die Politiker sich sonst ihren eigenen Ast [MASK] .	Politiker	absägen	Ast
548	1	absägen	Anscheinend werden die SPD ler die die eigene Partei am liebsten absägen .	Anscheinend werden die SPD ler die die eigene Partei am liebsten [MASK] .	SPDler	absägen	Partei
549	1	absägen	Die Energiewende nicht absägen	Die Energiewende nicht [MASK]		absägen	Energiewende
550	1	abgesägt	Ach wie schön , dass da Stefan Aust abgesägt wurde .	Ach wie schön , dass da Stefan Aust [MASK] wurde .		absägen	Aust
551	1	abgesägt	Dann wird Bender von der CDU als Chefredakteur abgesägt .	Dann wird Bender von der CDU als Chefredakteur [MASK] .		absägen	Bender
552	0	ausgeblutet	In der Tat ist ein Tier , das ausgeblutet ist , notwendigerweise tot .	In der Tat ist ein Tier , das [MASK] ist , notwendigerweise tot .	Tier	ausbluten	
553	0	ausbluten	Sorgfältig liess er das Tier ausbluten .	Sorgfältig liess er das Tier [MASK] .	er	ausbluten	Tier
554	0	ausbluten	Hältst du denn lebendig ausbluten lassen für den richtigen Weg ?	Hältst du denn lebendig [MASK] lassen für den richtigen Weg ?		ausbluten	
555	0	ausblutet	So scheint es , als Laura , auf ihrem Balkon ausblutet .	So scheint es , als Laura , auf ihrem Balkon [MASK] .	Laura	ausbluten	
556	0	ausbluten	Es spricht ja wirklich nichts dagegen , das Tier ausbluten zu lassen .	Es spricht ja wirklich nichts dagegen , das Tier [MASK] zu lassen .		ausbluten	Tier
557	0	ausbluten	Zum Beispiel , Fische zu spät zu kehlen und zu schlecht ausbluten zu lassen .	Zum Beispiel , Fische zu spät zu kehlen und zu schlecht [MASK] zu lassen .		ausbluten	Fisch
558	1	blutet	Die Versicherung blutet aus .	Die Versicherung [MASK] aus .	Versicherung	ausbluten	
559	0	ausgeblutet	Danach wuden die Rinder aufgehängt und durch einen Schnitt in die Halsvenen ausgeblutet .	Danach wuden die Rinder aufgehängt und durch einen Schnitt in die Halsvenen [MASK] .		ausbluten	Rind
560	0	ausbluten	Maria hat Christus die Bauchdecke aufgeschlitzt und ihn ausbluten lassen um seine Leidenszeit am Kreuze zu verkürzen .	Maria hat Christus die Bauchdecke aufgeschlitzt und ihn [MASK] lassen um seine Leidenszeit am Kreuze zu verkürzen .		ausbluten	Christus
561	1	ausbluten	Google hilft dagegen , dass Zeitungen im Netz ausbluten .	Google hilft dagegen , dass Zeitungen im Netz [MASK] .	Zeitung	ausbluten	
562	0	ausbluten	Danach liess man die Tiere vollends ausbluten .	Danach liess man die Tiere vollends [MASK] .	man	ausbluten	Tier
563	1	ausgeblutet	Literarisch und intellektuell war das Land infolge der Diktatur gleichsam ausgeblutet .	Literarisch und intellektuell war das Land infolge der Diktatur gleichsam [MASK] .	Land	ausbluten	
564	1	ausbluten	Ein Grossunternehmer lässt ihn ausbluten , die haben schon Zeit und Geld .	Ein Grossunternehmer lässt ihn [MASK] , die haben schon Zeit und Geld .	Grossunternehmer	ausbluten	
565	1	ausgeblutet	Andere Lieder wie z.B. Baby , It Cold Outside kommen völlig ausgeblutet daher .	Andere Lieder wie z.B. Baby , It Cold Outside kommen völlig [MASK] daher .	Lied	ausbluten	
566	1	ausbluten	Sodann haben sie den langen Streik im öffentlichen Nahverkehr von Marseille ausbluten lassen .	Sodann haben sie den langen Streik im öffentlichen Nahverkehr von Marseille [MASK] lassen .	sie	ausbluten	Nahverkehr
567	0	ausgeblutet	Oda selbst verschlagen ausgeblutet in der Ecke liegen und nicht beachtet werden .	Oda selbst verschlagen [MASK] in der Ecke liegen und nicht beachtet werden .		ausbluten	
568	1	ausgeblutet	Wir haben jarelang zugesehen , wie der mittlere Dienst ausgeblutet ist und leider weiterhin .	Wir haben jarelang zugesehen , wie der mittlere Dienst [MASK] ist und leider weiterhin .	Dienst	ausbluten	
569	1	ausgeblutet	Einmal mehr wird deutlich , wie sehr die Behörde personell ausgeblutet und fachlich überfordert ist .	Einmal mehr wird deutlich , wie sehr die Behörde personell [MASK] und fachlich überfordert ist .	Behörde	ausbluten	
570	0	ausbluten	Am Tempel des Poseidon liessen die Könige Stiere ausbluten und sassen zu Gericht .	Am Tempel des Poseidon liessen die Könige Stiere [MASK] und sassen zu Gericht .	König	ausbluten	Stier
571	1	ausbluten	Amazon will uns ersticken und ausbluten lassen .	Amazon will uns ersticken und [MASK] lassen .	Amazon	ausbluten	
572	1	ausblutet	Das Globalisierung den kleinen Mann wie eine Zecke ausblutet .	Das Globalisierung den kleinen Mann wie eine Zecke [MASK] .	Globalisierung	ausbluten	Mann
573	1	ausblutet	Der Verein muss wirklich aufpassen , das er nicht weiter ausblutet vor lauter Eitelkeit der Führung .	Der Verein muss wirklich aufpassen , das er nicht weiter [MASK] vor lauter Eitelkeit der Führung .	Verein	ausbluten	
574	0	blutete	Der gekehlte Hering blutete aus , wobei das gleichzeitige Salzen diesen Vorgang noch unterstützte .	Der gekehlte Hering [MASK] aus , wobei das gleichzeitige Salzen diesen Vorgang noch unterstützte .	Hering	ausbluten	
575	1	bluten	Die Kassen , aus denen dies bezahlt werden soll , bluten ohnehin schon aus .	Die Kassen , aus denen dies bezahlt werden soll , [MASK] ohnehin schon aus .	Kasse	ausbluten	
576	1	ausgeblutet	Beim Fehlstart von Phobos Grunt wurde bekannt , dass die russische Raumfahrtindustrie stark ausgeblutet ist .	Beim Fehlstart von Phobos Grunt wurde bekannt , dass die russische Raumfahrtindustrie stark [MASK] ist .	Raumfahrtindustrie	ausbluten	
577	1	ausbluten	Die Fress - und Sauflust der führenden Schicht liess die arme Bevölkerung ausbluten .	Die Fress - und Sauflust der führenden Schicht liess die arme Bevölkerung [MASK] .		ausbluten	Bevölkerung
578	0	ausbluten	Andererseits - warum lässt man tote Tiere überhaupt ausbluten ?	Andererseits - warum lässt man tote Tiere überhaupt [MASK] ?	man	ausbluten	Tier
579	1	ausgeblutet	Das Land und seine Menschen wurden weiter ausgeblutet .	Das Land und seine Menschen wurden weiter [MASK] .		ausbluten	Land
580	1	ausbluten	Wir wollen unsere Kommunen gezielt stärken und nicht ausbluten !	Wir wollen unsere Kommunen gezielt stärken und nicht [MASK] !		ausbluten	Kommune
581	0	ausbluten	Lass die Schnittstellen ausbluten , anschliessend mit klarem Wasser abspülen .	Lass die Schnittstellen [MASK] , anschliessend mit klarem Wasser abspülen .		ausbluten	Schnittstelle
582	0	ausgeblutet	An den Ständern festgehalten bis das Tier ausgeblutet war und fertig .	An den Ständern festgehalten bis das Tier [MASK] war und fertig .		ausbluten	Tier
583	0	ausgeblutet	Tiere wurden geopfert , bei lebendigem Leibe wurde ihnen die Halsschlagader durchgeschnitten , und sie wurden ausgeblutet .	Tiere wurden geopfert , bei lebendigem Leibe wurde ihnen die Halsschlagader durchgeschnitten , und sie wurden [MASK] .		ausbluten	Tier
584	1	anbrach	Adrienne Berene wie auch Erthor weigern sich , mit mir zu reden , als der Tag anbrach .	Adrienne Berene wie auch Erthor weigern sich , mit mir zu reden , als der Tag [MASK] .	Tag	anbrechen	
585	1	angebrochen	20.02.2010 Samstag Unser letzter Tag ist angebrochen .	20.02.2010 Samstag Unser letzter Tag ist [MASK] .	Tag	anbrechen	
586	1	anzubrechen	Sehr beruhigend das endlich mal andere Zeiten anzubrechen scheinen und hoffentlich auch die Spieler das begreifen .	Sehr beruhigend das endlich mal andere Zeiten [MASK] scheinen und hoffentlich auch die Spieler das begreifen .	Zeit	anbrechen	
587	1	brechen	die letzten stunden brechen an .	die letzten stunden [MASK] an .	Stunde	anbrechen	
588	0	angebrochen	Fazit : mehrfacher Schlüsselbeinbruch , Bruch der Schulter und zudem noch 5 Rippen gebrochen bzw. angebrochen .	Fazit : mehrfacher Schlüsselbeinbruch , Bruch der Schulter und zudem noch 5 Rippen gebrochen bzw. [MASK] .		anbrechen	Rippe
589	0	angebrochen	Hab mir mal den Knöchel angebrochen und musste zur Ambulanz in die Klinik .	Hab mir mal den Knöchel [MASK] und musste zur Ambulanz in die Klinik .		anbrechen	Knöchel
590	0	angebrochen	Ich trug zu diesem Zeitpunkt Birkenstock und habe mir den Knöchel angebrochen .	Ich trug zu diesem Zeitpunkt Birkenstock und habe mir den Knöchel [MASK] .		anbrechen	Knöchel
591	0	angebrochen	Ich habe das ungute Gefühl , dass die Feder gebrochen bzw. angebrochen ist .	Ich habe das ungute Gefühl , dass die Feder gebrochen bzw. [MASK] ist .	Feder	anbrechen	
592	0	aufgepresst	Manche werden geklemmt , manche mit Nut und Feder , andere wiederum werden nur aufgepresst .	Manche werden geklemmt , manche mit Nut und Feder , andere wiederum werden nur [MASK] .		aufpressen	
593	0	aufgepresst	und das Zahnrad aufgepresst So kann man es durchbohren .	und das Zahnrad [MASK] So kann man es durchbohren .		aufpressen	Zahnrad
594	0	aufgepresst	Den neuen Lagersitz haben wir auch gleich wieder aufgepresst .	Den neuen Lagersitz haben wir auch gleich wieder [MASK] .		aufpressen	Lagersitz
595	0	aufgepresst	Der Hebelarm ist aufgepresst und verstemmt , also nicht allzu leicht zu demontieren .	Der Hebelarm ist [MASK] und verstemmt , also nicht allzu leicht zu demontieren .	Hebelarm	aufpressen	
596	0	aufzupressen	Die Brücke lediglich ausreichend zu kürzen und einen neuen unteren Kabelschuh aufzupressen , wäre ebenfalls bereits zielführend .	Die Brücke lediglich ausreichend zu kürzen und einen neuen unteren Kabelschuh [MASK] , wäre ebenfalls bereits zielführend .		aufpressen	Kabelschuh
597	0	aufgepresst	Auf diesem Rohr sind vier Abschnitte mit jeweils 50 cm Lamellen aufgepresst .	Auf diesem Rohr sind vier Abschnitte mit jeweils 50 cm Lamellen [MASK] .	Abschnitt	aufpressen	
598	1	aufzupressen	Ein Leichtes auch für Google , den Medienkonzernen Vertragsbedingungen aufzupressen .	Ein Leichtes auch für Google , den Medienkonzernen Vertragsbedingungen [MASK] .		aufpressen	Vertragsbedingung
599	1	aufgepresst	Die Türken wurden uns gegen den Willen aufgepresst .	Die Türken wurden uns gegen den Willen [MASK] .		aufpressen	Türke
600	1	aufzupressen	Einer späteren Generation eine vererbte Schuld aufzupressen wäre nicht nur ein Unrecht , sondern auch unvernünftig .	Einer späteren Generation eine vererbte Schuld [MASK] wäre nicht nur ein Unrecht , sondern auch unvernünftig .		aufpressen	Schuld
601	1	aufpressen	Es wurde auch zu anderer Zeit berichtet dass die Russen bestimmten Personen mit Gehirnwäschen ihre Ideologien aufpressen .	Es wurde auch zu anderer Zeit berichtet dass die Russen bestimmten Personen mit Gehirnwäschen ihre Ideologien [MASK] .	Russe	aufpressen	Ideologie
602	1	aufpressen	und mir nicht die meinung der jeweiligen experten aufpressen lassen .	und mir nicht die meinung der jeweiligen experten [MASK] lassen .		aufpressen	meinung
603	1	aufzupressen	Ich versuche niemandem meine Meinung aufzupressen .	Ich versuche niemandem meine Meinung [MASK] .	ich	aufpressen	Meinung
604	1	aufbrechen	Einige Gesellschaften wollen die verknöcherten Strukturen aufbrechen und erhoffen sich einen frischeren Abend durch Auftritte eigener Mitglieder .	Einige Gesellschaften wollen die verknöcherten Strukturen [MASK] und erhoffen sich einen frischeren Abend durch Auftritte eigener Mitglieder .	Gesellschaft	aufbrechen	Struktur
605	1	aufgebrochen	Bischof Joachim hat in seinem Hirtenbrief Katholisch - ein altes Wort neu gesehen die konfessionelle Engführung aufgebrochen .	Bischof Joachim hat in seinem Hirtenbrief Katholisch - ein altes Wort neu gesehen die konfessionelle Engführung [MASK] .	Bischof	aufbrechen	Engführung
606	0	bricht	Fiesco bricht die Briefe auf , fliegt sie durch .	Fiesco [MASK] die Briefe auf , fliegt sie durch .	Fiesco	aufbrechen	Brief
607	1	aufbrechen	Als wir dann endlich aufbrechen kommt es nach wenigen Kilometern zu einem kleinen Zwischenfall .	Als wir dann endlich [MASK] kommt es nach wenigen Kilometern zu einem kleinen Zwischenfall .		aufbrechen	
608	0	aufgebrochen	Ein Nacht im Januar war ein Kettendrahtzaun durchgeschnitten Ein Stahltür aufgebrochen und 130 Hasen weggenommen .	Ein Nacht im Januar war ein Kettendrahtzaun durchgeschnitten Ein Stahltür [MASK] und 130 Hasen weggenommen .		aufbrechen	Stahltür
609	0	aufgebrochen	Unbekannte Täter hatten am Wochenende einen Container aufgebrochen .	Unbekannte Täter hatten am Wochenende einen Container [MASK] .	Täter	aufbrechen	Container
610	1	aufgebrochen	Unsere kleine Gruppe ist aufgebrochen zu einer Wanderung .	Unsere kleine Gruppe ist [MASK] zu einer Wanderung .	Gruppe	aufbrechen	
611	0	bricht	Er bricht den Käfig auf und läuft im Club Amok .	Er [MASK] den Käfig auf und läuft im Club Amok .	er	aufbrechen	Käfig
612	0	aufbrechen	Sonst würde man das Tor aufbrechen und dann wäre es normal ein Fall der Generali .	Sonst würde man das Tor [MASK] und dann wäre es normal ein Fall der Generali .	man	aufbrechen	Tor
613	0	brach	Bolt ging zum Hotelzimmer nebenan und brach die Tür auf ...	Bolt ging zum Hotelzimmer nebenan und [MASK] die Tür auf ...		aufbrechen	Tür
614	1	aufgebrochen	Später sind wir zum Literary Walk aufgebrochen und haben uns in Dublin umgeschaut .	Später sind wir zum Literary Walk [MASK] und haben uns in Dublin umgeschaut .	wir	aufbrechen	
615	1	aufgebrochen	verbesserte kommunale Spielräume marktwirtschaftlich : Das Oligopol von wenigen Betreibern wird aufgebrochen .	verbesserte kommunale Spielräume marktwirtschaftlich : Das Oligopol von wenigen Betreibern wird [MASK] .		aufbrechen	Oligopol
616	1	aufbrechen	Wenn Klassikvirtuosen zu einem Abstecher ins Jazzterrain aufbrechen , tönt das oft zickig , weil nicht swingt .	Wenn Klassikvirtuosen zu einem Abstecher ins Jazzterrain [MASK] , tönt das oft zickig , weil nicht swingt .	Klassikvirtuosen	aufbrechen	
617	1	aufgebrochen	Du bist nach Damaskus aufgebrochen um deine Kampagne der Gewalt und der Verhaftung auszudehnen .	Du bist nach Damaskus [MASK] um deine Kampagne der Gewalt und der Verhaftung auszudehnen .	du	aufbrechen	
618	1	aufgebrochen	Dazu müssen äussere und innere Abhängigkeiten aufgebrochen werden , die mit bewussten und unbewussten Ängsten verknüpft sind .	Dazu müssen äussere und innere Abhängigkeiten [MASK] werden , die mit bewussten und unbewussten Ängsten verknüpft sind .	Abhängigkeit	aufbrechen	
619	1	aufgebrochen	Ich bin am fünfzehnten April aus Brahes Lager aufgebrochen und war am siebtzehnten hier ...	Ich bin am fünfzehnten April aus Brahes Lager [MASK] und war am siebtzehnten hier ...		aufbrechen	
620	1	aufbrechen	Bevor wir jedoch dorthin aufbrechen , sollten wir unsere neuen Gefolgsleute entsprechend ausrüsten .	Bevor wir jedoch dorthin [MASK] , sollten wir unsere neuen Gefolgsleute entsprechend ausrüsten .		aufbrechen	
621	1	aufgebrochen	Es gab konservative Verkrustungen , die aufgebrochen werden mussten .	Es gab konservative Verkrustungen , die [MASK] werden mussten .		aufbrechen	Verkrustung
622	1	aufzubrechen	Nur so habe ich die Möglichkeit , zu Dreharbeiten aufzubrechen , ohne mir Sorgen machen zu müssen .	Nur so habe ich die Möglichkeit , zu Dreharbeiten [MASK] , ohne mir Sorgen machen zu müssen .		aufbrechen	
623	0	aufbricht	Als Casey Nicks Koffer aufbricht ist dieser voll mit Rauschgiftpäckchen .	Als Casey Nicks Koffer [MASK] ist dieser voll mit Rauschgiftpäckchen .	Koffer	aufbrechen	
624	0	bricht	Natürlich hat er seinen Schlüssel vergessen und bricht einfach seine Tür auf .	Natürlich hat er seinen Schlüssel vergessen und [MASK] einfach seine Tür auf .		aufbrechen	Tür
625	0	aufgebrochen	Ein kleiner Jährlingsbock liegt , aufgebrochen im Revier , wiegt er in der Wildkammer 11,5 kg .	Ein kleiner Jährlingsbock liegt , [MASK] im Revier , wiegt er in der Wildkammer 11,5 kg .	Jährlingsbock	aufbrechen	
626	0	aufbrechen	Sie liessen die Haustüre aufbrechen .	Sie liessen die Haustüre [MASK] .	sie	aufbrechen	Haustür
627	0	aufgebrochen	Unbekannte hatten in Möschwitz , Voigtsgrüner Strasse ein grosses Holztor aufgebrochen und waren in eine Maschinenhalle eingedrungen .	Unbekannte hatten in Möschwitz , Voigtsgrüner Strasse ein grosses Holztor [MASK] und waren in eine Maschinenhalle eingedrungen .	unbekannte	aufbrechen	Holztor
628	0	aufgebrochen	Im Inneren des Geschäfts waren Schubladen und Kassen aufgebrochen worden .	Im Inneren des Geschäfts waren Schubladen und Kassen [MASK] worden .		aufbrechen	Kasse
629	0	aufgebrochen	In der Gaststätte wurde ein Geldspielautomat aufgebrochen .	In der Gaststätte wurde ein Geldspielautomat [MASK] .		aufbrechen	Geldspielautomat
630	1	eingepflanzt	Einem Grossteil der HSV Belegschaft wurde bei Bayern München das Sieger Gen eingepflanzt .	Einem Grossteil der HSV Belegschaft wurde bei Bayern München das Sieger Gen [MASK] .		einpflanzen	Siegergen
631	1	einpflanzen	Möchte dem Fahrzeug einen GP Geniussport 80 R mit Speed 12 T einpflanzen .	Möchte dem Fahrzeug einen GP Geniussport 80 R mit Speed 12 T [MASK] .		einpflanzen	GP Geniussport 80 R
